5056,12402
8989,7748
7469,7748
4051,7748
5056,10
10,12402
8814,13271
8814,7469
8814,15328
2288,16436
2288,13253
2288,5056
2288,3459
12317,16436
12317,1036
16436,1531
2288,1531
1531,1036
11288,7295
7295,8989
5872,7295
5622,7295
3459,7295
14273,7295
14147,14273
13523,14273
8280,14183
12402,11713
8814,11713
5056,11713
2380,11713
10,11713
11288,779
17702,6246
17702,312
16436,312
15328,312
14273,312
13271,312
12402,312
12317,312
11288,312
8814,312
7295,312
5697,312
5056,312
4058,312
4051,312
3147,312
2509,312
2380,312
2288,312
2138,312
1564,312
312,535
10,312
16436,2622
14273,2622
2622,312
2288,2622
10129,8989
10129,5697
10129,1531
10129,312
2380,10129
17702,2721
14194,14273
14194,7295
14194,4058
2721,8989
2721,7748
2721,7295
2721,3147
2721,312
14273,5045
14183,5045
12402,5045
7469,5045
5872,5045
5045,7469
5045,312
4058,5045
1564,5045
1074,5045
14147,3391
13523,3391
13271,3391
11288,3391
4058,3391
4051,3391
3459,3391
2288,3391
1531,3391
1036,3391
12317,11855
11855,12402
11855,11713
11855,8989
14183,11267
11267,13271
11267,2622
11267,312
4058,11267
2288,11267
1188,17150
15430,17150
15430,12402
15430,12317
15430,11713
15430,11267
15430,3391
15430,2622
15430,1531
15430,312
14194,6202
13968,6202
13968,312
11855,15430
7469,6202
6202,17150
6202,12317
6202,5045
6202,2622
6202,1531
6202,779
6202,312
5056,15430
5045,15430
5045,6202
4051,6202
2509,6202
1564,6202
1188,6202
1036,13968
10,15430
3283,13253
3283,11288
3283,5872
3283,1564
3283,10
2380,3283
14147,5649
13968,5649
13523,5649
11288,5649
9665,17702
9665,14273
9665,4051
9665,2873
9665,1388
9665,312
6202,5649
5697,5649
5649,2622
5649,312
2288,5649
1564,5649
16275,3391
14147,16275
13523,16275
12402,4389
8814,4389
6202,4389
5697,4389
5045,4389
4389,8989
4389,312
2288,4389
12226,7295
12226,3391
12226,1074
11288,12226
6202,12226
4389,12226
2721,12226
2288,12226
15613,2622
15613,312
15613,6078
14147,6078
11288,6078
7295,6078
6078,9400
6078,5649
6078,2622
6078,312
5649,6078
2721,6078
14183,12599
12599,15430
12599,12402
12599,11713
12599,5649
12226,12599
6202,12599
5872,12599
4058,12599
3556,12599
2288,12599
3631,4389
3631,3391
13968,10689
8814,10689
7469,10689
2509,10689
16275,12799
15613,5395
15430,5395
14194,12799
14194,5395
13253,12799
13253,5395
12799,5649
12799,312
12402,12799
12317,5395
12226,12799
11288,12799
11288,5395
10129,5395
8814,12799
7295,5395
6202,5395
5872,12799
5697,5395
5622,5395
5395,312
5045,12799
5045,5395
4058,12799
3631,12799
3556,12799
3459,12799
3459,5395
3147,5395
2721,5395
2622,12799
2288,5395
2138,12799
2138,5395
4926,5045
4926,3391
4926,1531
15613,2423
15430,2423
6202,2423
6078,2423
5649,2423
2423,13271
2423,6078
2423,5395
2423,2622
2423,312
2288,2423
16987,5649
16987,5395
16987,312
13968,16987
12599,16987
2509,13942
2138,16987
13871,5697
13871,1531
13871,312
3681,2423
14147,7330
13523,7330
11288,7330
8814,7330
7330,14273
7330,12799
7330,5395
5872,7330
5045,7330
2288,7330
14147,10571
11288,10571
10571,5395
10571,5045
10571,2622
10571,2423
10571,312
9665,10571
6202,10571
4051,10571
2721,10571
12599,13628
4058,13628
1074,13628
16275,472
15430,472
13271,472
12317,472
12226,472
11855,472
11288,472
9665,472
6202,472
5697,472
5486,472
5045,472
4926,472
4051,472
3631,472
3147,472
2288,472
1074,472
1036,472
472,12799
472,12226
472,5045
472,4389
472,3391
1622,17702
1622,16275
1622,312
11286,13271
11286,6078
